Unnamed: 0	Description	CancerType	ClassType	Iteration	fold	Algorithm	DefaultParameters	AUROC
0	Clinical	TCGA_THCA	PFI	1	1	glmnet	0	0.5714285714285711
1	Clinical	TCGA_THCA	PFI	1	2	glmnet	0	0.628571428571429
2	Clinical	TCGA_THCA	PFI	1	3	glmnet	0	0.5
3	Clinical	TCGA_THCA	PFI	1	4	glmnet	0	0.4416666666666671
4	Clinical	TCGA_THCA	PFI	1	5	glmnet	0	0.42
5	Clinical	TCGA_THCA	PFI	2	1	glmnet	0	0.504761904761905
6	Clinical	TCGA_THCA	PFI	2	2	glmnet	0	0.6190476190476191
7	Clinical	TCGA_THCA	PFI	2	3	glmnet	0	0.3583333333333329
8	Clinical	TCGA_THCA	PFI	2	4	glmnet	0	0.55
9	Clinical	TCGA_THCA	PFI	2	5	glmnet	0	0.38
10	Clinical	TCGA_THCA	PFI	3	1	glmnet	0	0.6190476190476191
11	Clinical	TCGA_THCA	PFI	3	2	glmnet	0	0.447619047619048
12	Clinical	TCGA_THCA	PFI	3	3	glmnet	0	0.658333333333333
13	Clinical	TCGA_THCA	PFI	3	4	glmnet	0	0.55
14	Clinical	TCGA_THCA	PFI	3	5	glmnet	0	0.54
15	Clinical	TCGA_THCA	PFI	4	1	glmnet	0	0.5619047619047621
16	Clinical	TCGA_THCA	PFI	4	2	glmnet	0	0.6952380952380949
17	Clinical	TCGA_THCA	PFI	4	3	glmnet	0	0.316666666666667
18	Clinical	TCGA_THCA	PFI	4	4	glmnet	0	0.725
19	Clinical	TCGA_THCA	PFI	4	5	glmnet	0	0.48
20	Clinical	TCGA_THCA	PFI	5	1	glmnet	0	0.847619047619047
21	Clinical	TCGA_THCA	PFI	5	2	glmnet	0	0.428571428571428
22	Clinical	TCGA_THCA	PFI	5	3	glmnet	0	0.608333333333333
23	Clinical	TCGA_THCA	PFI	5	4	glmnet	0	0.675
24	Clinical	TCGA_THCA	PFI	5	5	glmnet	0	0.37
25	Clinical	TCGA_THCA	PFI	1	1	naiveBayes	0	0.647619047619048
